Image ID,Creator,Short Title,Created:from,Created:to,Uploaded,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,ImgDB ID,Metadata editor
21,unknown,A Plot with Powder,1605-01-01,1605-12-31,02.02.2014,1,1,5,,http://www.bpi1700.org.uk/jsp/image.jsp?image=48812,Order Ref.: AN48812001,GBR,England,British Museum London,British Printed Images Database,British Museum London,A similar print is published in George: English Political Caricatures to 1792. A study of opinion and propaganda / Oxford 1959 / PLATE 3.,imgs/1605_GBR__21.jpg,monika
22,L. Tocque,Charles Edward Stuart,1747-01-01,1747-12-31,02.02.2014,1,1,1,,,,GBR,Edinburgh,National Library of Scotland,Jacobite Prints and Broadsides Online (NLS),National Library of Scotland,,imgs/1747_GBR__22.jpg,monika
23,unknown,The Duke of York and Prince Charles,1735-01-01,1735-12-31,02.02.2014,12,1,1,,,,GBR,,National Library of Scotland,Jacobite Prints and Broadsides Online (NLS),National Library of Scotland,,imgs/1735_GBR__23.jpg,monika
24,anonymus,Burning heretics,1560-01-01,1570-12-31,02.03.2014,1,1,9,,Mustafin / Licevoj svod,,RUS,,,,,,imgs/1560_RUS__24.jpg,m.griesse
25,Salomon Savery,De Weegschaal,1618-01-01,1618-12-31,02.03.2014,1,1,3,,http://www.geheugenvannederland.nl/?/nl/items/RIJK04:RP-P-19,Unknown,NLD,Unknown,Rijksmuseum Amsterdam,Rijksmuseum Amsterdam,Rijksmuseum Amsterdam,,imgs/1618_NLD__25.jpg,monika
29,anonymous,Battle on the ice,1560-01-01,1580-12-31,2/27/2014,1,1,9,none,Mustafin / Licevoj svod,,RUS,Court of Muscovy (Ivan IV),Kremlin,,,,imgs/1560_RUS__29.jpg,m.griesse
30,unknown,Map of Europe 1700 Northwest,01.01.2014,12/31/2014,3/21/2014,13,1,5,,,,USA,,,,,,imgs/2014_USA__30.jpg,monika
31,unknown,Map of Europe 1600 Northwest,01.01.2014,12/31/2014,3/21/2014,13,1,5,,,,USA,,,,,,imgs/2014_USA__31.jpg,monika
32,unknown,The Solemn Mock Procession of the Pope / Cardinalls / Jesuits /,1680-01-01,1680-12-31,3/21/2014,12,1,5,sold in London bookshop / published by Samuel Lee & Newman,http://www.britishmuseum.org/research/collection_online/coll,,GBR,engraving after Francis Barlow,British Museum London,British Museum London,British Museum London,,imgs/1680_GBR__32.jpg,monika
33,George Brickham the Younger,A Skit on Britain,1740-01-01,1740-12-31,3/21/2014,12,1,1,London / England,http://www.britishmuseum.org/research/collection_online/coll,,GBR,,British Museum London,British Museum London,British Museum London,,imgs/1740_GBR__33.jpg,monika
34,Great Britain,Royal Coat of Arms after the 1707 Union with Scotland,1707-01-01,1707-12-31,3/21/2014,1,1,5,,www.wikimedia.com,,GBR,Great Britain,,,,,imgs/1707_GBR__34.png,monika
35,England,Royal Coat of Arms 17th century,1600-01-01,1707-12-31,3/21/2014,13,1,5,,www.wikimedia.com,,GBR,England,,,,,imgs/1600_GBR__35.png,monika
36,Sanson,Map of Europe,1700-01-01,1800-12-31,3/21/2014,12,1,6,,,,FRA,France,,,,,imgs/1700_FRA__36.jpg,monika
37,Ploetz Historischer Weltatlas,Europa im Zeitalter des Absolutismus 1740,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,Weltatlas,,,,,imgs/2013_DEU__37.jpg,monika
38,Ploetz Historischer Weltatlas / Monika Barget,Map of the Jacobite Rising 1745,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__38.jpg,monika
39,Ploetz Historischer Weltatlas / Monika Barget,Map of the Jacobite Rising 1715,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__39.jpg,monika
40,Ploetz Historischer Weltatlas / Monika Barget,Map of the Glorious Revolution 1688,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__40.jpg,monika
41,Ploetz Historischer Weltatlas / Monika Barget,Map of Monmouth's Rebellion 1685,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__41.jpg,monika
42,Routledge Atlas of British History,Map of the Pilgrimage of Grace,01.01.2010,12/31/2010,3/21/2014,1,1,5,,,,GBR,,,,,,imgs/2010_GBR__42.jpg,monika
43,unknown,Historic Counties of England and Wales,1700-01-01,1800-12-31,3/21/2014,1,1,5,,www.wikimedia.com,,GBR,,,,,,imgs/1700_GBR__43.jpg,monika
44,Routledge Atlas of British History,Maps of the Jacobite Rebellions,01.01.2010,12/31/2010,3/21/2014,1,1,5,,,,GBR,,,,,,imgs/2010_GBR__44.jpg,monika
45,Routledge Atlas of British History,Map of England 1500 - 1600,01.01.2010,12/31/2010,3/21/2014,1,1,5,,,,GBR,,,,,,imgs/2010_GBR__45.jpg,monika
46,Daniel Szechi (publ.),Areas affected by the Jacobite risings in 1715,01.01.2009,12/31/2009,3/21/2014,1,1,5,,,,GBR,illustration in Daniel Szechi's 1715,,,,,imgs/2009_GBR__46.jpg,monika
47,Malte Griesse,1626 Upper Austrian Peasant War_aus Krebs-Lit.Rezeption,1626-01-01,1626-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1626_AFG__47.jpg,monika
48,Malte Griesse,1630s Croquants / Nu-Pieds,1630-01-01,1630-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1630_AFG__48.jpg,monika
49,Malte Griesse,1640-52 Catalan revolt (2),1640-01-01,1640-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1640_AFG__49.png,monika
50,Malte Griesse,1640-52 Catalan revolt,1640-01-01,1640-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1640_AFG__50.png,monika
51,Malte Griesse,1640-68 War of Portuguese Independence,1640-01-01,1640-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1640_AFG__51.jpg,monika
52,Malte Griesse,1642-49 English Civil Wars,1642-01-01,1649-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1642_AFG__52.jpg,monika
