Year,Population,"Year on Year Change","Change in Percent"
2000,"17,031",-,-
2001,"17,195",164,0.96%
2002,"17,270",75,0.44%
2003,"17,319",49,0.28%
2004,"17,478",159,0.92%
2005,"17,607",129,0.74%
2006,"17,681",74,0.42%
2007,"17,712",31,0.18%
2008,"17,843",131,0.74%
2009,"17,877",34,0.19%
2010,"17,767",-110,-0.62%
2011,"18,756",989,5.57%
2012,"18,934",178,0.95%
2013,"19,198",264,1.39%
2014,"19,352",154,0.80%
2015,"19,576",224,1.16%
2016,"19,092",-484,-2.47%
2017,"19,089",-3,-0.02%
2018,"18,937",-152,-0.80%
2019,"18,905",-32,-0.17%
2020,"18,362",-543,-2.87%
2021,"18,208",-154,-0.84%
2022,"18,053",-155,-0.85%
2023,"18,086",33,0.18%
