SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
040,25,000,00000,00000,00000,0,A,Massachusetts,Massachusetts,7029949,6995729,6989690,6981974
162,25,000,00840,00000,00000,0,A,Agawam Town city,Massachusetts,28693,28622,28443,28393
162,25,000,01260,00000,00000,0,A,Amesbury Town city,Massachusetts,17367,17338,17278,17179
162,25,000,01370,00000,00000,0,A,Amherst Town city,Massachusetts,39270,27791,40218,40059
162,25,000,02690,00000,00000,0,A,Attleboro city,Massachusetts,46459,46475,46629,46601
162,25,000,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,48912,48896,49635,49532
162,25,000,05595,00000,00000,0,A,Beverly city,Massachusetts,42675,42596,42391,42235
162,25,000,07000,00000,00000,0,A,Boston city,Massachusetts,675632,671570,654537,650706
162,25,000,07740,00000,00000,0,A,Braintree Town city,Massachusetts,39148,39071,38794,38567
162,25,000,08130,00000,00000,0,A,Bridgewater Town city,Massachusetts,28630,28509,28888,28780
162,25,000,09000,00000,00000,0,A,Brockton city,Massachusetts,105654,105502,105501,104826
162,25,000,11000,00000,00000,0,A,Cambridge city,Massachusetts,118395,118349,118082,118488
162,25,000,13205,00000,00000,0,A,Chelsea city,Massachusetts,40785,40583,39070,38637
162,25,000,13660,00000,00000,0,A,Chicopee city,Massachusetts,55562,55443,55228,54980
162,25,000,19370,00000,00000,0,A,Easthampton Town city,Massachusetts,16218,16176,16098,16045
162,25,000,21990,00000,00000,0,A,Everett city,Massachusetts,49081,48917,48591,49350
162,25,000,23000,00000,00000,0,A,Fall River city,Massachusetts,93984,93933,93952,93682
162,25,000,23875,00000,00000,0,A,Fitchburg city,Massachusetts,41945,41659,41592,41502
162,25,000,24960,00000,00000,0,A,Framingham city,Massachusetts,72381,72136,71289,70963
162,25,000,25172,00000,00000,0,A,Franklin Town city,Massachusetts,33272,32341,33136,33656
162,25,000,25485,00000,00000,0,A,Gardner city,Massachusetts,21285,21219,20995,20902
162,25,000,26150,00000,00000,0,A,Gloucester city,Massachusetts,29730,29740,29969,29836
